room_type_Entire home/apt,neighbourhood_group_cleansed_Manhattan,accommodates,bathroom_type_baths,bedrooms,bathroom_type_shared,bedrooms_per_accommodates,review_scores_location,gym,room_type_Private room
1.0,1.0,1.0,0.0,5.0,0.0,5.0,4.86,0.0,0.0
0.0,0.0,2.0,0.0,1.0,0.0,0.5,4.47,0.0,1.0
1.0,0.0,4.0,1.0,2.0,0.0,0.5,4.5,0.0,0.0
0.0,1.0,2.0,0.0,1.0,0.0,0.5,4.87,0.0,1.0
0.0,1.0,1.0,0.0,1.0,1.0,1.0,4.94,0.0,1.0
0.0,0.0,2.0,1.0,1.0,0.0,0.5,4.87,1.0,1.0
1.0,0.0,3.0,0.0,5.0,0.0,1.6666666666666667,4.67,0.0,0.0
0.0,1.0,1.0,0.0,1.0,1.0,1.0,4.7494104477611945,0.0,1.0
0.0,1.0,1.0,0.0,1.0,1.0,1.0,4.84,0.0,1.0
0.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0
1.0,0.0,4.0,0.0,1.0,0.0,0.25,4.93,0.0,0.0
0.0,1.0,1.0,0.0,2.0,1.0,2.0,4.7494104477611945,0.0,1.0
1.0,0.0,4.0,0.0,5.0,0.0,1.25,5.0,0.0,0.0
1.0,0.0,5.0,0.0,1.0,0.0,0.2,4.62,0.0,0.0
1.0,1.0,2.0,0.0,5.0,0.0,2.5,4.95,0.0,0.0
0.0,1.0,2.0,0.0,1.0,1.0,0.5,4.84,0.0,1.0
0.0,0.0,3.0,0.0,1.0,1.0,0.3333333333333333,4.35,0.0,1.0
0.0,0.0,2.0,0.0,1.0,1.0,0.5,4.87,0.0,1.0
0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.7494104477611945,0.0,1.0
0.0,1.0,2.0,0.0,1.0,1.0,0.5,4.7,0.0,1.0
1.0,1.0,3.0,0.0,1.0,0.0,0.3333333333333333,4.51,0.0,0.0
0.0,0.0,4.0,0.0,1.0,0.0,0.25,4.88,0.0,1.0
1.0,0.0,2.0,0.0,1.0,0.0,0.5,4.02,0.0,0.0
0.0,0.0,3.0,0.0,1.0,0.0,0.3333333333333333,3.59,0.0,1.0
0.0,0.0,2.0,0.0,1.0,0.0,0.5,4.51,0.0,1.0
1.0,0.0,2.0,0.0,2.0,0.0,1.0,4.78,0.0,0.0
1.0,0.0,2.0,0.0,1.0,0.0,0.5,4.8,0.0,0.0
0.0,0.0,2.0,0.0,1.0,1.0,0.5,4.15,0.0,1.0
0.0,1.0,1.0,0.0,1.0,0.0,1.0,4.88,0.0,1.0
1.0,1.0,3.0,0.0,1.0,0.0,0.3333333333333333,4.72,1.0,0.0
0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.83,0.0,1.0
1.0,1.0,4.0,1.0,2.0,0.0,0.5,4.8,0.0,0.0
1.0,1.0,6.0,0.0,2.0,0.0,0.3333333333333333,4.7,0.0,0.0
1.0,0.0,7.0,1.0,4.0,0.0,0.5714285714285714,4.85,0.0,0.0
0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.69,0.0,1.0
0.0,1.0,2.0,0.0,1.0,1.0,0.5,4.72,1.0,1.0
1.0,0.0,2.0,0.0,1.0,0.0,0.5,4.73,0.0,0.0
0.0,1.0,1.0,0.0,1.0,1.0,1.0,4.9,0.0,1.0
1.0,1.0,7.0,1.0,4.0,0.0,0.5714285714285714,4.42,0.0,0.0
1.0,1.0,2.0,0.0,1.0,0.0,0.5,4.56,0.0,0.0
0.0,1.0,2.0,0.0,1.0,1.0,0.5,4.83,0.0,1.0
0.0,1.0,2.0,0.0,2.0,1.0,1.0,4.71,0.0,1.0
0.0,1.0,3.0,1.0,1.0,0.0,0.3333333333333333,5.0,0.0,1.0
0.0,1.0,2.0,0.0,1.0,0.0,0.5,5.0,1.0,1.0
1.0,1.0,3.0,0.0,2.0,0.0,0.6666666666666666,4.25,1.0,0.0
0.0,0.0,4.0,1.0,1.0,0.0,0.25,4.57,0.0,1.0
1.0,0.0,2.0,0.0,1.0,0.0,0.5,4.98,0.0,0.0
0.0,0.0,2.0,0.0,1.0,1.0,0.5,4.98,0.0,1.0
1.0,0.0,2.0,0.0,1.0,0.0,0.5,4.4,0.0,0.0
0.0,1.0,2.0,0.0,1.0,0.0,0.5,4.76,0.0,1.0
0.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0
0.0,1.0,2.0,0.0,1.0,1.0,0.5,5.0,0.0,1.0
1.0,0.0,2.0,0.0,1.0,0.0,0.5,4.65,0.0,0.0
1.0,1.0,4.0,1.0,3.0,0.0,0.75,4.98,0.0,0.0
1.0,0.0,5.0,1.0,4.0,0.0,0.8,4.77,0.0,0.0
1.0,0.0,4.0,0.0,1.0,0.0,0.25,4.79,0.0,0.0
0.0,1.0,2.0,0.0,1.0,1.0,0.5,4.65,1.0,1.0
0.0,1.0,1.0,0.0,1.0,0.0,1.0,4.83,0.0,1.0
1.0,0.0,2.0,0.0,1.0,0.0,0.5,4.89,0.0,0.0
1.0,1.0,4.0,1.0,2.0,0.0,0.5,4.87,0.0,0.0
1.0,1.0,6.0,0.0,1.0,0.0,0.16666666666666666,4.64,0.0,0.0
1.0,1.0,3.0,0.0,5.0,0.0,1.6666666666666667,4.79,0.0,0.0
0.0,0.0,2.0,0.0,2.0,1.0,1.0,4.67,0.0,1.0
1.0,1.0,4.0,0.0,1.0,0.0,0.25,4.94,0.0,0.0
0.0,0.0,2.0,0.0,1.0,1.0,0.5,4.38,0.0,1.0
0.0,0.0,2.0,0.0,1.0,1.0,0.5,4.83,0.0,1.0
1.0,1.0,3.0,0.0,1.0,0.0,0.3333333333333333,4.89,0.0,0.0
0.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0
1.0,1.0,2.0,0.0,5.0,0.0,2.5,4.93,0.0,0.0
0.0,0.0,2.0,0.0,3.0,1.0,1.5,4.33,0.0,1.0
0.0,0.0,2.0,0.0,1.0,0.0,0.5,4.72,0.0,1.0
0.0,0.0,3.0,1.0,1.0,0.0,0.3333333333333333,4.83,0.0,1.0
1.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0
1.0,0.0,2.0,0.0,1.0,0.0,0.5,4.96,0.0,0.0
1.0,1.0,2.0,0.0,1.0,0.0,0.5,5.0,0.0,0.0
1.0,0.0,4.0,0.0,2.0,0.0,0.5,3.67,0.0,0.0
0.0,1.0,2.0,0.0,1.0,0.0,0.5,4.35,0.0,1.0
1.0,1.0,2.0,0.0,1.0,0.0,0.5,4.98,0.0,0.0
1.0,0.0,7.0,1.0,5.0,0.0,0.7142857142857143,4.89,0.0,0.0
0.0,0.0,2.0,0.0,1.0,1.0,0.5,4.85,0.0,1.0
0.0,1.0,2.0,0.0,1.0,0.0,0.5,4.98,0.0,1.0
0.0,1.0,2.0,0.0,1.0,0.0,0.5,4.67,1.0,1.0
0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.73,0.0,1.0
1.0,0.0,4.0,0.0,1.0,0.0,0.25,4.38,0.0,0.0
1.0,1.0,4.0,1.0,2.0,0.0,0.5,4.61,0.0,0.0
1.0,0.0,2.0,0.0,1.0,0.0,0.5,4.56,0.0,0.0
0.0,0.0,2.0,0.0,1.0,1.0,0.5,4.52,0.0,1.0
1.0,1.0,2.0,0.0,1.0,0.0,0.5,5.0,0.0,0.0
1.0,1.0,6.0,0.0,1.0,0.0,0.16666666666666666,5.0,0.0,0.0
0.0,0.0,2.0,0.0,1.0,0.0,0.5,4.83,0.0,1.0
1.0,1.0,2.0,0.0,1.0,0.0,0.5,4.98,0.0,0.0
0.0,1.0,2.0,1.0,1.0,0.0,0.5,4.19,0.0,1.0
1.0,0.0,2.0,0.0,5.0,0.0,2.5,4.53,0.0,0.0
1.0,1.0,4.0,0.0,2.0,0.0,0.5,4.44,0.0,0.0
0.0,0.0,2.0,0.0,1.0,1.0,0.5,4.97,0.0,1.0
0.0,1.0,2.0,0.0,1.0,0.0,0.5,4.9,0.0,1.0
1.0,0.0,7.0,1.0,5.0,0.0,0.7142857142857143,4.82,0.0,0.0
0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.7494104477611945,0.0,1.0
0.0,1.0,2.0,0.0,1.0,1.0,0.5,4.88,0.0,1.0
0.0,0.0,2.0,0.0,1.0,1.0,0.5,4.77,0.0,1.0
0.0,0.0,3.0,1.0,1.0,0.0,0.3333333333333333,4.24,0.0,1.0
1.0,0.0,4.0,0.0,1.0,0.0,0.25,4.89,0.0,0.0
0.0,1.0,1.0,0.0,1.0,0.0,1.0,4.7494104477611945,0.0,1.0
0.0,0.0,2.0,0.0,1.0,1.0,0.5,3.88,0.0,1.0
1.0,0.0,4.0,0.0,2.0,0.0,0.5,4.95,0.0,0.0
1.0,0.0,4.0,0.0,1.0,0.0,0.25,4.44,0.0,0.0
1.0,0.0,7.0,0.0,2.0,0.0,0.2857142857142857,4.25,0.0,0.0
1.0,0.0,7.0,1.0,4.0,0.0,0.5714285714285714,4.69,0.0,0.0
0.0,1.0,2.0,0.0,1.0,0.0,0.5,4.7494104477611945,1.0,1.0
0.0,0.0,2.0,0.0,1.0,1.0,0.5,4.95,0.0,1.0
0.0,0.0,2.0,0.0,1.0,1.0,0.5,3.91,0.0,1.0
0.0,1.0,2.0,0.0,1.0,0.0,0.5,4.48,0.0,1.0
0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.85,0.0,1.0
0.0,1.0,2.0,0.0,1.0,1.0,0.5,4.49,0.0,1.0
1.0,0.0,2.0,0.0,1.0,0.0,0.5,4.92,0.0,0.0
1.0,0.0,3.0,0.0,1.0,0.0,0.3333333333333333,4.89,1.0,0.0
1.0,1.0,4.0,0.0,1.0,0.0,0.25,4.88,0.0,0.0
1.0,1.0,2.0,0.0,1.0,0.0,0.5,4.97,0.0,0.0
1.0,1.0,2.0,0.0,1.0,0.0,0.5,4.58,0.0,0.0
0.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0
0.0,1.0,2.0,1.0,1.0,0.0,0.5,4.65,0.0,1.0
0.0,0.0,4.0,0.0,2.0,0.0,0.5,4.84,0.0,1.0
1.0,1.0,2.0,0.0,1.0,0.0,0.5,4.69,0.0,0.0
1.0,0.0,7.0,0.0,3.0,0.0,0.42857142857142855,5.0,0.0,0.0
1.0,1.0,5.0,0.0,2.0,0.0,0.4,4.69,0.0,0.0
1.0,1.0,6.0,0.0,3.0,0.0,0.5,4.5,0.0,0.0
1.0,1.0,2.0,0.0,1.0,0.0,0.5,4.85,0.0,0.0
1.0,1.0,3.0,0.0,1.0,0.0,0.3333333333333333,5.0,0.0,0.0
0.0,1.0,2.0,1.0,1.0,0.0,0.5,4.45,0.0,1.0
0.0,1.0,2.0,0.0,1.0,0.0,0.5,4.67,0.0,1.0
1.0,1.0,6.0,0.0,1.0,0.0,0.16666666666666666,4.83,0.0,0.0
1.0,1.0,6.0,0.0,3.0,0.0,0.5,5.0,0.0,0.0
1.0,1.0,3.0,0.0,1.0,0.0,0.3333333333333333,4.84,0.0,0.0
1.0,1.0,2.0,0.0,1.0,0.0,0.5,4.98,0.0,0.0
1.0,1.0,3.0,0.0,5.0,0.0,1.6666666666666667,4.75,0.0,0.0
1.0,0.0,4.0,1.0,2.0,0.0,0.5,4.85,0.0,0.0
0.0,0.0,3.0,0.0,1.0,1.0,0.3333333333333333,4.7494104477611945,0.0,1.0
1.0,0.0,2.0,0.0,1.0,0.0,0.5,4.71,0.0,0.0
1.0,0.0,2.0,0.0,1.0,0.0,0.5,4.23,0.0,0.0
1.0,1.0,4.0,1.0,2.0,0.0,0.5,4.64,0.0,0.0
0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.67,0.0,1.0
1.0,1.0,2.0,0.0,1.0,0.0,0.5,4.7494104477611945,0.0,0.0
0.0,0.0,2.0,0.0,1.0,1.0,0.5,4.41,0.0,1.0
0.0,0.0,2.0,0.0,1.0,0.0,0.5,4.4,0.0,1.0
0.0,0.0,3.0,0.0,1.0,0.0,0.3333333333333333,4.51,0.0,1.0
0.0,1.0,2.0,0.0,1.0,1.0,0.5,4.81,0.0,1.0
0.0,0.0,3.0,1.0,2.0,0.0,0.6666666666666666,4.37,0.0,1.0
1.0,1.0,7.0,0.0,2.0,0.0,0.2857142857142857,5.0,0.0,0.0
1.0,0.0,2.0,0.0,1.0,0.0,0.5,4.79,0.0,0.0
1.0,0.0,3.0,0.0,1.0,0.0,0.3333333333333333,4.66,0.0,0.0
0.0,1.0,1.0,0.0,1.0,1.0,1.0,4.8,1.0,1.0
1.0,0.0,4.0,0.0,2.0,0.0,0.5,4.97,0.0,0.0
1.0,1.0,2.0,0.0,5.0,0.0,2.5,4.93,0.0,0.0
1.0,1.0,7.0,0.0,2.0,0.0,0.2857142857142857,4.92,0.0,0.0
1.0,0.0,4.0,0.0,1.0,0.0,0.25,4.97,1.0,0.0
1.0,0.0,3.0,0.0,1.0,0.0,0.3333333333333333,4.96,0.0,0.0
1.0,1.0,2.0,0.0,1.0,0.0,0.5,4.68,1.0,0.0
1.0,0.0,4.0,0.0,1.0,0.0,0.25,4.93,0.0,0.0
0.0,1.0,2.0,0.0,1.0,1.0,0.5,4.67,0.0,1.0
0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.7494104477611945,0.0,1.0
1.0,1.0,2.0,0.0,1.0,0.0,0.5,4.97,0.0,0.0
0.0,0.0,2.0,0.0,1.0,0.0,0.5,4.86,0.0,1.0
1.0,1.0,6.0,0.0,3.0,0.0,0.5,4.78,0.0,0.0
1.0,1.0,2.0,0.0,1.0,0.0,0.5,4.96,0.0,0.0
1.0,1.0,2.0,0.0,1.0,0.0,0.5,4.78,0.0,0.0
1.0,1.0,2.0,0.0,1.0,0.0,0.5,4.95,0.0,0.0
1.0,0.0,4.0,0.0,1.0,0.0,0.25,4.84,0.0,0.0
1.0,0.0,2.0,0.0,1.0,0.0,0.5,4.77,0.0,0.0
1.0,1.0,2.0,0.0,1.0,0.0,0.5,4.97,0.0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.85,0.0,1.0
1.0,0.0,2.0,0.0,1.0,0.0,0.5,4.9,0.0,0.0
1.0,1.0,3.0,0.0,1.0,0.0,0.3333333333333333,4.09,0.0,0.0
1.0,1.0,5.0,0.0,1.0,0.0,0.2,4.79,0.0,0.0
1.0,0.0,3.0,0.0,1.0,0.0,0.3333333333333333,4.31,0.0,0.0
1.0,1.0,5.0,0.0,2.0,0.0,0.4,4.51,0.0,0.0
1.0,0.0,3.0,0.0,1.0,0.0,0.3333333333333333,4.67,0.0,0.0
1.0,1.0,3.0,0.0,1.0,0.0,0.3333333333333333,4.64,0.0,0.0
0.0,0.0,2.0,0.0,1.0,0.0,0.5,5.0,0.0,1.0
0.0,0.0,2.0,0.0,1.0,0.0,0.5,4.41,1.0,0.0
0.0,1.0,2.0,0.0,1.0,1.0,0.5,4.84,0.0,1.0
0.0,0.0,4.0,0.0,1.0,0.0,0.25,4.78,1.0,0.0
0.0,0.0,4.0,0.0,1.0,0.0,0.25,3.67,1.0,1.0
1.0,0.0,5.0,1.0,3.0,0.0,0.6,4.97,0.0,0.0
0.0,0.0,4.0,0.0,1.0,0.0,0.25,3.5,1.0,1.0
0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.9,0.0,1.0
1.0,0.0,4.0,0.0,2.0,0.0,0.5,4.95,0.0,0.0
1.0,1.0,2.0,0.0,1.0,0.0,0.5,4.83,0.0,0.0
1.0,0.0,5.0,0.0,2.0,0.0,0.4,4.92,0.0,0.0
1.0,0.0,3.0,0.0,1.0,0.0,0.3333333333333333,4.17,0.0,0.0
1.0,0.0,3.0,0.0,2.0,0.0,0.6666666666666666,4.8,0.0,0.0
0.0,0.0,2.0,0.0,1.0,0.0,0.5,4.84,1.0,0.0
1.0,0.0,4.0,0.0,2.0,0.0,0.5,4.26,0.0,0.0
1.0,0.0,5.0,0.0,2.0,0.0,0.4,4.55,0.0,0.0
1.0,0.0,4.0,0.0,1.0,0.0,0.25,4.82,0.0,0.0
1.0,0.0,2.0,1.0,1.0,0.0,0.5,4.52,0.0,0.0
1.0,0.0,2.0,0.0,1.0,0.0,0.5,4.79,0.0,0.0
1.0,0.0,6.0,0.0,2.0,0.0,0.3333333333333333,4.5,0.0,0.0
1.0,1.0,2.0,0.0,1.0,0.0,0.5,4.67,0.0,0.0
1.0,0.0,2.0,0.0,5.0,0.0,2.5,5.0,0.0,0.0
1.0,1.0,2.0,0.0,1.0,0.0,0.5,4.68,0.0,0.0
0.0,1.0,2.0,0.0,1.0,1.0,0.5,4.44,0.0,1.0
1.0,0.0,3.0,0.0,1.0,0.0,0.3333333333333333,4.79,0.0,0.0
1.0,1.0,2.0,0.0,1.0,0.0,0.5,5.0,0.0,0.0
0.0,0.0,4.0,1.0,3.0,0.0,0.75,4.52,0.0,1.0
1.0,1.0,3.0,0.0,1.0,0.0,0.3333333333333333,4.88,0.0,0.0
1.0,0.0,2.0,0.0,1.0,0.0,0.5,4.88,0.0,0.0
0.0,0.0,6.0,0.0,2.0,0.0,0.3333333333333333,3.57,1.0,1.0
0.0,1.0,2.0,0.0,1.0,1.0,0.5,4.57,0.0,1.0
0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.64,0.0,1.0
1.0,0.0,4.0,0.0,2.0,0.0,0.5,4.8,0.0,0.0
1.0,0.0,3.0,0.0,1.0,0.0,0.3333333333333333,4.88,0.0,0.0
1.0,1.0,2.0,0.0,5.0,0.0,2.5,4.79,0.0,0.0
1.0,1.0,2.0,0.0,5.0,0.0,2.5,4.93,0.0,0.0
0.0,1.0,2.0,0.0,1.0,0.0,0.5,4.0,0.0,1.0
0.0,0.0,2.0,0.0,1.0,0.0,0.5,4.85,0.0,1.0
0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.7494104477611945,0.0,1.0
0.0,0.0,2.0,0.0,1.0,0.0,0.5,4.51,0.0,1.0
1.0,0.0,6.0,1.0,3.0,0.0,0.5,4.64,0.0,0.0
0.0,1.0,1.0,0.0,1.0,1.0,1.0,4.7,0.0,1.0
1.0,0.0,2.0,0.0,1.0,0.0,0.5,4.84,0.0,0.0
1.0,1.0,4.0,0.0,5.0,0.0,1.25,4.3,0.0,0.0
1.0,0.0,2.0,0.0,2.0,0.0,1.0,4.36,0.0,0.0
1.0,0.0,6.0,0.0,2.0,0.0,0.3333333333333333,4.91,0.0,0.0
1.0,0.0,4.0,1.0,2.0,0.0,0.5,4.88,0.0,0.0
1.0,1.0,3.0,0.0,5.0,0.0,1.6666666666666667,4.71,0.0,0.0
0.0,0.0,2.0,0.0,1.0,0.0,0.5,4.76,0.0,1.0
1.0,1.0,7.0,1.0,2.0,0.0,0.2857142857142857,4.78,0.0,0.0
0.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,0.0,1.0
1.0,0.0,4.0,0.0,2.0,0.0,0.5,4.67,0.0,0.0
1.0,0.0,3.0,0.0,1.0,0.0,0.3333333333333333,4.82,0.0,0.0
0.0,1.0,1.0,0.0,1.0,1.0,1.0,4.96,0.0,1.0
1.0,0.0,2.0,0.0,1.0,0.0,0.5,4.92,0.0,0.0
0.0,0.0,2.0,0.0,1.0,1.0,0.5,4.34,0.0,1.0
1.0,0.0,3.0,0.0,1.0,0.0,0.3333333333333333,4.97,0.0,0.0
1.0,1.0,1.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0
