room_type_Entire home/apt,neighbourhood_group_cleansed_Manhattan,accommodates,bathroom_type_baths,bedrooms,bathroom_type_shared,bedrooms_per_accommodates,review_scores_location,gym,room_type_Private room,Predicted_Price,price,Error
1.0,1.0,1.0,0.0,5.0,0.0,5.0,4.86,0.0,0.0,109.59417034101746,150.0,40.40582965898254
0.0,0.0,2.0,0.0,1.0,0.0,0.5,4.47,0.0,1.0,61.11151700490867,60.0,-1.11151700490867
1.0,0.0,4.0,1.0,2.0,0.0,0.5,4.5,0.0,0.0,180.98668263667213,275.0,94.01331736332787
0.0,1.0,2.0,0.0,1.0,0.0,0.5,4.87,0.0,1.0,119.95441305336303,68.0,-51.95441305336303
0.0,1.0,1.0,0.0,1.0,1.0,1.0,4.94,0.0,1.0,78.82259685336831,75.0,-3.82259685336831
0.0,0.0,2.0,1.0,1.0,0.0,0.5,4.87,1.0,1.0,79.80185404905745,107.0,27.198145950942546
1.0,0.0,3.0,0.0,5.0,0.0,1.6666666666666667,4.67,0.0,0.0,98.33728216107183,84.0,-14.337282161071826
0.0,1.0,1.0,0.0,1.0,1.0,1.0,4.7494104477611945,0.0,1.0,61.225927875799364,65.0,3.774072124200636
0.0,1.0,1.0,0.0,1.0,1.0,1.0,4.84,0.0,1.0,67.80154563858788,62.0,-5.801545638587882
0.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,48.457664561122385,90.0,41.542335438877615
1.0,0.0,4.0,0.0,1.0,0.0,0.25,4.93,0.0,0.0,142.20824724569488,201.0,58.79175275430512
0.0,1.0,1.0,0.0,2.0,1.0,2.0,4.7494104477611945,0.0,1.0,77.87488413558421,96.0,18.12511586441579
1.0,0.0,4.0,0.0,5.0,0.0,1.25,5.0,0.0,0.0,123.8127884377724,299.0,175.18721156222762
1.0,0.0,5.0,0.0,1.0,0.0,0.2,4.62,0.0,0.0,113.80516493729773,110.0,-3.8051649372977323
1.0,1.0,2.0,0.0,5.0,0.0,2.5,4.95,0.0,0.0,140.80299327252905,175.0,34.19700672747095
0.0,1.0,2.0,0.0,1.0,1.0,0.5,4.84,0.0,1.0,81.8737623835232,55.0,-26.8737623835232
0.0,0.0,3.0,0.0,1.0,1.0,0.3333333333333333,4.35,0.0,1.0,59.163813686091196,82.0,22.836186313908804
0.0,0.0,2.0,0.0,1.0,1.0,0.5,4.87,0.0,1.0,64.24798482519995,105.0,40.75201517480005
0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.7494104477611945,0.0,1.0,62.44431508740753,150.0,87.55568491259247
0.0,1.0,2.0,0.0,1.0,1.0,0.5,4.7,0.0,1.0,71.51199459289273,60.0,-11.511994592892734
1.0,1.0,3.0,0.0,1.0,0.0,0.3333333333333333,4.51,0.0,0.0,130.58994076119615,250.0,119.41005923880385
0.0,0.0,4.0,0.0,1.0,0.0,0.25,4.88,0.0,1.0,102.89241150489846,145.0,42.10758849510154
1.0,0.0,2.0,0.0,1.0,0.0,0.5,4.02,0.0,0.0,100.27643837560005,99.0,-1.2764383756000512
0.0,0.0,3.0,0.0,1.0,0.0,0.3333333333333333,3.59,0.0,1.0,74.09771063068438,75.0,0.9022893693156249
0.0,0.0,2.0,0.0,1.0,0.0,0.5,4.51,0.0,1.0,61.660167907604325,70.0,8.339832092395675
